comparison,threshold,n_pairs,pct_total,sign_flip_rate_pct,sign_inv_pct_metric,wj_unsigned,wj_signed,binom_p,n_sign_flips
same-stimulus: 9.0 vs 10.0,0.0,2452005,100.0,23.31,91.72,0.5291,0.961,0.0,571635
same-stimulus: 9.0 vs 10.0,0.05,632768,25.806146398559545,2.84,85.96,0.6886,0.9563,0.0,17975
same-stimulus: 9.0 vs 10.0,0.1,209875,8.55932186108919,0.99,81.4,0.7496,0.9534,0.0,2081
same-stimulus: 9.0 vs 10.0,0.15,78386,3.196812404542405,0.4,77.04,0.7889,0.9515,0.0,313
same-stimulus: 9.0 vs 10.0,0.2,34121,1.3915550743167326,0.13,72.82,0.813,0.9492,0.0,44
same-stimulus: 9.0 vs 10.0,0.3,10529,0.4294036920805626,0.01,65.61,0.8366,0.9438,0.0,1
same-stimulus: 9.0 vs 13.0,0.0,2447578,100.0,26.96,92.43,0.5231,0.9639,0.0,659749
same-stimulus: 9.0 vs 13.0,0.05,504827,20.625573526155243,2.74,86.84,0.7145,0.9624,0.0,13855
same-stimulus: 9.0 vs 13.0,0.1,147479,6.025507665128547,0.48,82.17,0.7757,0.96,0.0,701
same-stimulus: 9.0 vs 13.0,0.15,51884,2.119809869184966,0.11,76.93,0.8083,0.9558,0.0,59
same-stimulus: 9.0 vs 13.0,0.2,23088,0.9432998662351108,0.03,71.78,0.8265,0.951,0.0,8
same-stimulus: 9.0 vs 13.0,0.3,8479,0.34642409761813514,0.0,64.34,0.8496,0.9464,0.0,0
diff-stimulus: 9.0 vs 2.0,0.0,2379471,100.0,36.9,91.49,0.4032,0.9492,0.0,877995
diff-stimulus: 9.0 vs 2.0,0.05,353464,14.854730316108077,12.06,83.17,0.609,0.9342,0.0,42633
diff-stimulus: 9.0 vs 2.0,0.1,85284,3.5841579914191013,3.83,78.25,0.6742,0.9291,0.0,3264
diff-stimulus: 9.0 vs 2.0,0.15,27888,1.1720252106455595,1.61,72.78,0.7117,0.9215,0.0,449
diff-stimulus: 9.0 vs 2.0,0.2,12433,0.5225110959536805,0.72,67.73,0.7408,0.9164,0.0,90
diff-stimulus: 9.0 vs 2.0,0.3,4908,0.2062643335430438,0.2,61.84,0.8129,0.9286,0.0,10
diff-stimulus: spontaneous vs 2.0,0.0,2386020,100.0,39.37,91.62,0.404,0.9501,0.0,939291
diff-stimulus: spontaneous vs 2.0,0.05,310759,13.024157383425118,15.98,81.45,0.6296,0.9313,0.0,49653
diff-stimulus: spontaneous vs 2.0,0.1,76155,3.191716750069153,6.61,75.59,0.6918,0.9248,0.0,5035
diff-stimulus: spontaneous vs 2.0,0.15,28469,1.193158481488001,2.74,71.13,0.7186,0.9188,0.0,779
diff-stimulus: spontaneous vs 2.0,0.2,14084,0.5902716657865399,1.01,67.47,0.7397,0.9153,0.0,142
diff-stimulus: spontaneous vs 2.0,0.3,5610,0.23511957150401086,0.07,62.72,0.7939,0.9232,0.0,4
